specobjid,ra,dec,z
6946967456653701120,0.184993609999992,20.091615,0.1687031
844568179018590208,0.18560395,15.920576,0.1740152
5106159310619734016,0.186126919999992,7.3165206,0.0003438271
844571752431380480,0.18723588,15.853722,0.1150682
1228503906733025280,0.18823,0.07585,0.105909
771373139664857088,0.18888016,0.079587444,0.1068412
844450806152325120,0.18997356,14.074655,0.04171728
7333228920231882752,0.190431279999984,24.985668,0.1375925
1676606848469329920,0.19087,0.458374,0.08294539
844568728774404096,0.1908799,15.976033,0.1150899
4970966933794648064,0.191296910000005,5.0549272,0.1316209
435772222263552000,0.19305001,0.065284187,0.1061169
4970964734771392512,0.193276099999991,4.849683,0.1735465
844467023948834816,0.19362583,14.636958,0.1365999
7745232694644764672,0.195714210000006,23.117045,0.06353956
844464000291858432,0.19617406,14.312927,0.09169001
1676605748957702144,0.196956,0.179911,0.03792643
6946966632019980288,0.198287300000004,20.018093,0.1678038
7745239841470345216,0.198917189999975,23.645568,0.1795207
844463725413951488,0.19954213,14.277546,0.0361846
6879260630781194240,0.202138999999988,20.020015,0.1678975
1732905966174758912,0.20223901,0.78591001,0.08573642
844464550047672320,0.20235147,14.552426,0.09551354
844452455419766784,0.20344528,14.009318,0.09137416
7745226097574998016,0.204267449999975,24.194163,1.332349E-05
7333023036679581696,0.205080720000012,23.788018,0.01800882
7745235443423834112,0.206457779999994,22.91032,0.1452282
1732903492273596416,0.20669299,1.025602,0.05414912
1732905416418945024,0.207489,1.2301511,0.08651967
771371215519508480,0.20809647,0.057870196,0.1069387
3153727350466701312,0.208708,23.961945,0.0002118656
845649548972943360,0.20912226,15.362296,0.1545009
435871178310051840,0.2096984,0.9108805,0.1044239
7330760516577193984,0.209806870000023,27.262667,0.1492845
845647349949687808,0.21151734,15.209487,0.1755647
844465924437207040,0.2121538,14.2362,0.09423318
845630857275271168,0.21297251,14.251941,0.09429388
844572302187194368,0.21301769,15.714936,0.1307614
6898658764590346240,0.213928239999973,20.09361,3.743455E-05
1732899918860806144,0.214155,0.74244702,0.1077417
845646800193873920,0.21417698,15.250844,0.09703922
435871453187958784,0.21490219,0.89002406,0.1044362
3155947814819751936,0.215364,27.612157,3.245208E-06
7330994437676003328,0.215990959999999,28.896906,0.1016449
1228505830878373888,0.216763,0.734215,0.09607635
844569003652311040,0.21799383,16.133323,0.1753184
3153727625344608256,0.218253,24.017524,3.832606E-06
844572577065101312,0.21878341,16.093305,0.1144582
6960500519807414272,0.21881295999998,12.232697,7.635272E-05
1732907065686386688,0.218817,0.905123,0.1022647
1228501432831862784,0.21896,0.601822,7.746879E-05
6879274649554448384,0.219917660000021,20.137494,0.1685071
844569828286031872,0.22021328,15.924201,0.1155001
6912173960143237120,0.220447960000001,16.089017,0.172951
845636354833410048,0.22047034,14.413542,0.09202123
5106163983544152064,0.220722770000009,8.060928,0.04000531
1732899643982899200,0.221306,0.70663601,0.06194758
1228508579657443328,0.222744,0.749257,0.107999
844581922913937408,0.22307616,15.905293,0.1337179
844564055849986048,0.22358407,15.564109,0.1511431
1676612346027468800,0.224325,0.732572,3.618338E-05
844447232739534848,0.22436398,13.837318,0.09112887
844468948094183424,0.22525931,14.671701,0.1435572
844451630786045952,0.22532309,14.128631,0.1567686
6898660138979880960,0.22534404999999,20.027802,0.1706616
4815728530883801088,0.225639999999999,4.186807,0.09534375
4815730729907056640,0.226620000000025,3.9822217,0.1483067
4815509728069873664,0.226929999999982,2.9848536,0.09505585
844441460303489024,0.22716498,14.216248,0.1375963
4971017511329525760,0.227246499999978,5.6598666,0.1704322
771384134781134848,0.22807262,0.98540126,5.385773E-05
844566804629055488,0.2281323,15.218737,0.04579797
844565430239520768,0.22964308,15.355532,0.1518225
